year,month,day,hour,season,PM_Dongsihuan,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,week,work
2010,1,2,3,4,200,-7,85,1022,-5,SE,5.36,0,0,Saturday,No
2010,1,2,4,4,107,-7,85,1022,-5,SE,6.25,0,0,Saturday,No
2010,1,2,5,4,128,-7,92,1022,-6,SE,7.14,0,0,Saturday,No
2010,1,2,6,4,139,-7,92,1023,-6,SE,8.93,0,0,Saturday,No
2010,1,2,7,4,114,-7,85,1024,-5,SE,10.72,0,0,Saturday,No
2010,1,2,8,4,99,-8,85,1024,-6,SE,12.51,0,0,Saturday,Yes
2010,1,2,9,4,210,-7,85,1025,-5,SE,14.3,0,0,Saturday,Yes
2010,1,2,10,4,182,-7,85,1026,-5,SE,17.43,0,0,Saturday,Yes
2010,1,2,11,4,134,-8,79,1026,-5,SE,20.56,0,0,Saturday,Yes
2010,1,2,12,4,182,-8,79,1026,-5,SE,23.69,0,0,Saturday,Yes
2010,1,2,13,4,138,-8,79,1025,-5,SE,27.71,0,0,Saturday,Yes
2010,1,2,14,4,217,-9,73,1025,-5,SE,31.73,0,0,Saturday,Yes
2010,1,2,15,4,136,-9,73,1025,-5,SE,35.75,0,0,Saturday,Yes
2010,1,2,16,4,89,-9,73,1026,-5,SE,37.54,0,0,Saturday,Yes
2010,1,2,17,4,234,-8,79,1027,-5,SE,39.33,0,0,Saturday,Yes
2010,1,2,18,4,148,-8,79,1027,-5,SE,42.46,0,0,Saturday,No
2010,1,2,19,4,135,-8,79,1028,-5,SE,44.25,0,0,Saturday,No
2010,1,2,20,4,181,-7,85,1028,-5,SE,46.04,0,0,Saturday,No
2010,1,2,21,4,158,-7,85,1027,-5,SE,49.17,0,0,Saturday,No
2010,1,2,22,4,120,-8,85,1028,-6,SE,52.3,0,0,Saturday,No
2010,1,2,23,4,170,-8,85,1027,-6,SE,55.43,0,0,Saturday,No
2010,1,3,0,4,71,-7,92,1027,-6,SE,58.56,0.4,0.4,Sunday,No
2010,1,3,1,4,68,-8,85,1026,-6,SE,61.69,0.5,0.9,Sunday,No
2010,1,3,2,4,57,-8,92,1026,-7,SE,65.71,0.5,1.4,Sunday,No
2010,1,3,3,4,78,-8,92,1025,-7,SE,68.84,0.7,2.1,Sunday,No
2010,1,3,4,4,102,-8,92,1024,-7,SE,72.86,1.2,3.3,Sunday,No
2010,1,3,5,4,88,-9,92,1024,-8,SE,76.88,0.7,4,Sunday,No
2010,1,3,6,4,103,-10,85,1024,-8,SE,80.9,1,5,Sunday,No
2010,1,3,7,4,61,-10,92,1024,-9,SE,84.92,0.7,5.7,Sunday,No
2010,1,3,8,4,85,-10,92,1024,-9,SE,89.84,0.5,6.2,Sunday,Yes
2010,1,3,9,4,71,-11,85,1023,-9,SE,93.86,0.7,6.9,Sunday,Yes
2010,1,3,10,4,151,-11,85,1023,-9,SE,97.88,0.4,7.3,Sunday,Yes
2010,1,3,11,4,106,-11,85,1022,-9,SE,102.8,0.5,7.8,Sunday,Yes
2010,1,3,12,4,114,-11,85,1021,-9,SE,105.93,1.1,8.9,Sunday,Yes
2010,1,3,13,4,41,-11,85,1020,-9,SE,111.74,0.5,9.4,Sunday,Yes
2010,1,3,14,4,91,-11,85,1020,-9,SE,116.66,0.3,9.7,Sunday,Yes
2010,1,3,15,4,73,-11,85,1020,-9,SE,121.58,0.5,10.2,Sunday,Yes
2010,1,3,16,4,73,-11,85,1020,-9,SE,124.71,0.2,10.4,Sunday,Yes
2010,1,3,17,4,48,-11,85,1020,-9,SE,127.84,0.1,10.5,Sunday,Yes
2010,1,3,18,4,55,-11,85,1021,-9,cv,0.89,0.4,10.9,Sunday,No
2010,1,3,19,4,52,-11,85,1022,-9,cv,1.78,0.3,11.2,Sunday,No
2010,1,3,20,4,60,-10,92,1022,-9,NW,4.02,0,0,Sunday,No
2010,1,3,21,4,63,-11,92,1023,-10,NW,7.15,0,0,Sunday,No
2010,1,3,22,4,119,-11,85,1023,-9,NW,11.17,0,0,Sunday,No
2010,1,3,23,4,73,-12,92,1023,-11,NW,14.3,0,0,Sunday,No
2010,1,4,0,4,88,-14,85,1023,-12,NW,16.09,0,0,Monday,No
2010,1,4,1,4,9,-16,56,1023,-9,NW,21.9,0,0,Monday,No
2010,1,4,2,4,36,-17,56,1024,-10,NW,29.95,0,0,Monday,No
2010,1,4,3,4,27,-18,56,1024,-11,NW,39.78,0,0,Monday,No
2010,1,4,4,4,34,-19,51,1025,-11,NW,48.72,0,0,Monday,No
2010,1,4,5,4,32,-20,51,1026,-12,NW,55.87,0,0,Monday,No
2010,1,4,6,4,32,-21,47,1027,-12,NW,64.81,0,0,Monday,No
2010,1,4,7,4,19,-21,51,1027,-13,NW,73.75,0,0,Monday,No
2010,1,4,8,4,34,-22,46,1028,-13,NW,80.9,0,0,Monday,Yes
2010,1,4,9,4,12,-22,46,1029,-13,NW,90.73,0,0,Monday,Yes
2010,1,4,10,4,40,-22,43,1030,-12,NW,100.56,0,0,Monday,Yes
2010,1,4,11,4,23,-23,39,1031,-12,NW,108.61,0,0,Monday,Yes
2010,1,4,12,4,48,-21,43,1030,-11,NW,117.55,0,0,Monday,Yes
2010,1,4,13,4,39,-20,43,1030,-10,NW,127.38,0,0,Monday,Yes
2010,1,4,14,4,3,-21,40,1030,-10,NW,136.32,0,0,Monday,Yes
2010,1,4,15,4,25,-21,37,1030,-9,NW,145.26,0,0,Monday,Yes
2010,1,4,16,4,43,-21,37,1031,-9,NW,152.41,0,0,Monday,Yes
2010,1,4,17,4,9,-20,47,1032,-11,NW,159.56,0,0,Monday,Yes
2010,1,4,18,4,3,-23,36,1032,-11,NW,165.37,0,0,Monday,No
2010,1,4,19,4,39,-21,47,1033,-12,NW,171.18,0,0,Monday,No
2010,1,4,20,4,30,-24,36,1034,-12,NW,180.12,0,0,Monday,No
2010,1,4,21,4,19,-24,39,1034,-13,NW,187.27,0,0,Monday,No
2010,1,4,22,4,37,-24,39,1035,-13,NW,195.32,0,0,Monday,No
2010,1,4,23,4,41,-26,38,1035,-15,NW,198.45,0,0,Monday,No
2010,1,5,0,4,58,-26,45,1035,-17,NW,201.58,0,0,Tuesday,No
2010,1,5,1,4,17,-26,49,1035,-18,NW,205.6,0,0,Tuesday,No
2010,1,5,2,4,32,-26,53,1035,-19,NW,208.73,0,0,Tuesday,No
2010,1,5,3,4,25,-27,45,1035,-18,NW,213.65,0,0,Tuesday,No
2010,1,5,4,4,28,-27,49,1035,-19,NW,218.57,0,0,Tuesday,No
2010,1,5,5,4,25,-27,38,1034,-16,NE,4.92,0,0,Tuesday,No
2010,1,5,6,4,57,-26,41,1035,-16,NE,8.05,0,0,Tuesday,No
2010,1,5,7,4,13,-27,38,1034,-16,NE,13.86,0,0,Tuesday,No
2010,1,5,8,4,19,-26,41,1035,-16,NE,18.78,0,0,Tuesday,Yes
2010,1,5,9,4,45,-26,38,1035,-15,NE,24.59,0,0,Tuesday,Yes
2010,1,5,10,4,30,-25,38,1035,-14,NE,29.51,0,0,Tuesday,Yes
2010,1,5,11,4,26,-25,35,1035,-13,NE,34.43,0,0,Tuesday,Yes
2010,1,5,12,4,33,-25,33,1034,-12,NE,39.35,0,0,Tuesday,Yes
2010,1,5,13,4,67,-24,33,1032,-11,NE,41.14,0,0,Tuesday,Yes
2010,1,5,14,4,49,-22,39,1032,-11,cv,0.89,0,0,Tuesday,Yes
2010,1,5,15,4,36,-23,36,1031,-11,NW,1.79,0,0,Tuesday,Yes
2010,1,5,16,4,48,-24,33,1031,-11,NW,3.58,0,0,Tuesday,Yes
2010,1,5,17,4,45,-23,36,1031,-11,NW,5.37,0,0,Tuesday,Yes
2010,1,5,18,4,47,-23,36,1032,-11,NW,7.16,0,0,Tuesday,No
2010,1,5,19,4,86,-22,46,1033,-13,NW,10.29,0,0,Tuesday,No
2010,1,5,20,4,70,-22,43,1033,-12,NW,13.42,0,0,Tuesday,No
2010,1,5,21,4,62,-24,59,1033,-18,NW,16.55,0,0,Tuesday,No
2010,1,5,22,4,54,-22,46,1034,-13,NW,20.57,0,0,Tuesday,No
2010,1,5,23,4,62,-22,59,1033,-16,NW,23.7,0,0,Tuesday,No
2010,1,6,0,4,77,-25,49,1033,-17,NW,26.83,0,0,Wednesday,No
2010,1,6,1,4,69,-25,38,1033,-14,NE,4.02,0,0,Wednesday,No
2010,1,6,2,4,40,-26,35,1034,-14,NE,8.04,0,0,Wednesday,No
2010,1,6,3,4,29,-26,35,1033,-14,NE,13.85,0,0,Wednesday,No
2010,1,6,4,4,37,-26,35,1033,-14,NE,17.87,0,0,Wednesday,No
2010,1,6,5,4,21,-26,35,1033,-14,NE,23.68,0,0,Wednesday,No
2010,1,6,6,4,9,-26,35,1033,-14,NE,28.6,0,0,Wednesday,No
2010,1,6,7,4,9,-26,38,1034,-15,NE,33.52,0,0,Wednesday,No
2010,1,6,8,4,68,-26,35,1034,-14,NE,39.33,0,0,Wednesday,Yes
2010,1,6,9,4,80,-25,35,1035,-13,NE,44.25,0,0,Wednesday,Yes
2010,1,6,10,4,25,-25,33,1035,-12,NE,50.06,0,0,Wednesday,Yes
2010,1,6,11,4,33,-24,33,1035,-11,NE,54.98,0,0,Wednesday,Yes
2010,1,6,12,4,15,-24,30,1034,-10,NE,59,0,0,Wednesday,Yes
2010,1,6,13,4,57,-22,36,1033,-10,NW,4.02,0,0,Wednesday,Yes
2010,1,6,14,4,68,-22,34,1033,-9,NW,5.81,0,0,Wednesday,Yes
2010,1,6,15,4,34,-22,31,1033,-8,cv,0.89,0,0,Wednesday,Yes
2010,1,6,16,4,49,-22,31,1033,-8,NW,1.79,0,0,Wednesday,Yes
2010,1,6,17,4,99,-21,37,1033,-9,NW,3.58,0,0,Wednesday,Yes
2010,1,6,18,4,62,-22,34,1033,-9,NW,5.37,0,0,Wednesday,No
2010,1,6,19,4,190,-22,50,1034,-14,cv,0.89,0,0,Wednesday,No
2010,1,6,20,4,75,-22,43,1035,-12,NW,1.79,0,0,Wednesday,No
2010,1,6,21,4,153,-21,55,1034,-14,NW,3.58,0,0,Wednesday,No
2010,1,6,22,4,143,-22,59,1035,-16,NW,5.37,0,0,Wednesday,No
2010,1,6,23,4,110,-21,65,1035,-16,NW,7.16,0,0,Wednesday,No
2010,1,7,0,4,111,-21,65,1035,-16,NW,8.95,0,0,Thursday,No
2010,1,7,1,4,13,-21,65,1035,-16,cv,0.45,0,0,Thursday,No
2010,1,7,2,4,54,-22,70,1036,-18,cv,1.34,0,0,Thursday,No
2010,1,7,3,4,31,-23,50,1036,-15,NW,4.02,0,0,Thursday,No
2010,1,7,4,4,22,-24,50,1035,-16,NW,7.15,0,0,Thursday,No
2010,1,7,5,4,12,-25,42,1035,-15,NW,10.28,0,0,Thursday,No
2010,1,7,6,4,19,-24,46,1035,-15,NW,14.3,0,0,Thursday,No
2010,1,7,7,4,4,-25,35,1036,-13,NE,4.92,0,0,Thursday,No
2010,1,7,8,4,19,-24,42,1036,-14,NW,4.02,0,0,Thursday,Yes
2010,1,7,9,4,52,-23,39,1036,-12,NW,8.94,0,0,Thursday,Yes
2010,1,7,10,4,51,-22,39,1036,-11,NW,12.96,0,0,Thursday,Yes
2010,1,7,11,4,45,-20,43,1036,-10,NW,16.09,0,0,Thursday,Yes
2010,1,7,12,4,53,-21,37,1035,-9,NW,19.22,0,0,Thursday,Yes
2010,1,7,13,4,51,-21,34,1034,-8,NW,21.01,0,0,Thursday,Yes
2010,1,7,14,4,85,-20,34,1033,-7,NW,22.8,0,0,Thursday,Yes
2010,1,7,15,4,52,-20,34,1032,-7,NW,24.59,0,0,Thursday,Yes
2010,1,7,16,4,57,-18,44,1032,-8,NW,26.38,0,0,Thursday,Yes
2010,1,7,17,4,78,-19,44,1032,-9,NW,28.17,0,0,Thursday,Yes
2010,1,7,18,4,83,-19,51,1032,-11,NE,0.89,0,0,Thursday,No
2010,1,7,19,4,117,-18,56,1033,-11,NW,1.79,0,0,Thursday,No
2010,1,7,20,4,165,-19,71,1032,-15,NE,1.79,0,0,Thursday,No
2010,1,7,21,4,150,-19,65,1032,-14,cv,0.45,0,0,Thursday,No
2010,1,7,22,4,199,-21,55,1032,-14,cv,1.34,0,0,Thursday,No
2010,1,7,23,4,221,-21,65,1032,-16,cv,2.23,0,0,Thursday,No
2010,1,8,0,4,219,-21,71,1031,-17,NW,1.79,0,0,Friday,No
2010,1,8,1,4,246,-19,77,1031,-16,NW,3.58,0,0,Friday,No
2010,1,8,2,4,181,-20,71,1031,-16,NE,0.89,0,0,Friday,No
2010,1,8,3,4,100,-19,71,1030,-15,SE,0.89,0,0,Friday,No
2010,1,8,4,4,108,-18,77,1030,-15,cv,0.45,0,0,Friday,No
2010,1,8,5,4,285,-18,77,1029,-15,cv,1.34,0,0,Friday,No
2010,1,8,6,4,40,-18,77,1029,-15,NW,1.79,0,0,Friday,No
2010,1,8,7,4,56,-16,78,1029,-13,NE,0.89,0,0,Friday,No
2010,1,8,8,4,79,-16,72,1029,-12,SE,0.89,0,0,Friday,Yes
2010,1,8,9,4,142,-16,72,1030,-12,SE,1.78,0,0,Friday,Yes
2010,1,8,10,4,164,-17,56,1030,-10,NE,0.89,0,0,Friday,Yes
2010,1,8,11,4,159,-16,61,1029,-10,cv,0.89,0,0,Friday,Yes
2010,1,8,12,4,228,-16,56,1028,-9,SE,3.13,0,0,Friday,Yes
2010,1,8,13,4,176,-15,57,1026,-8,SE,4.92,0,0,Friday,Yes
2010,1,8,14,4,236,-16,52,1026,-8,cv,0.89,0,0,Friday,Yes
2010,1,8,15,4,216,-16,52,1025,-8,cv,1.78,0,0,Friday,Yes
2010,1,8,16,4,325,-16,52,1025,-8,cv,2.67,0,0,Friday,Yes
2010,1,8,17,4,157,-17,48,1025,-8,SE,0.89,0,0,Friday,Yes
2010,1,8,18,4,474,-17,52,1026,-9,cv,0.45,0,0,Friday,No
2010,1,8,19,4,242,-17,61,1026,-11,cv,1.34,0,0,Friday,No
2010,1,8,20,4,245,-17,66,1026,-12,cv,1.79,0,0,Friday,No
2010,1,8,21,4,151,-18,71,1027,-14,NW,1.79,0,0,Friday,No
2010,1,8,22,4,199,-16,56,1027,-9,NW,4.92,0,0,Friday,No
2010,1,8,23,4,183,-16,66,1027,-11,NW,6.71,0,0,Friday,No
2010,1,9,0,4,158,-17,71,1027,-13,cv,0.89,0,0,Saturday,No
2010,1,9,1,4,165,-17,71,1027,-13,NW,3.13,0,0,Saturday,No
2010,1,9,2,4,217,-17,77,1027,-14,NW,4.92,0,0,Saturday,No
2010,1,9,3,4,222,-17,84,1027,-15,NW,8.05,0,0,Saturday,No
2010,1,9,4,4,150,-17,71,1027,-13,NW,9.84,0,0,Saturday,No
2010,1,9,5,4,159,-19,77,1027,-16,NW,13.86,0,0,Saturday,No
2010,1,9,6,4,152,-18,77,1027,-15,NW,17.88,0,0,Saturday,No
2010,1,9,7,4,145,-19,71,1027,-15,NW,21.9,0,0,Saturday,No
2010,1,9,8,4,107,-18,71,1028,-14,NW,25.92,0,0,Saturday,Yes
2010,1,9,9,4,71,-18,48,1029,-9,NE,5.81,0,0,Saturday,Yes
2010,1,9,10,4,129,-17,44,1029,-7,NE,11.62,0,0,Saturday,Yes
2010,1,9,11,4,55,-17,41,1030,-6,NE,17.43,0,0,Saturday,Yes
2010,1,9,12,4,40,-16,45,1029,-6,NE,23.24,0,0,Saturday,Yes
2010,1,9,13,4,44,-16,41,1029,-5,NE,28.16,0,0,Saturday,Yes
2010,1,9,14,4,46,-15,42,1029,-4,NE,33.08,0,0,Saturday,Yes
2010,1,9,15,4,48,-14,45,1028,-4,NE,37.1,0,0,Saturday,Yes
2010,1,9,16,4,47,-15,42,1029,-4,NE,38.89,0,0,Saturday,Yes
2010,1,9,17,4,5,-15,42,1030,-4,NW,1.79,0,0,Saturday,Yes
2010,1,9,18,4,61,-15,52,1030,-7,NE,3.13,0,0,Saturday,No
2010,1,9,19,4,66,-15,48,1031,-6,NW,3.13,0,0,Saturday,No
2010,1,9,20,4,51,-15,52,1032,-7,NW,4.92,0,0,Saturday,No
2010,1,9,21,4,39,-15,48,1032,-6,NE,3.13,0,0,Saturday,No
2010,1,9,22,4,114,-15,57,1033,-8,cv,0.45,0,0,Saturday,No
2010,1,9,23,4,83,-15,57,1033,-8,cv,0.9,0,0,Saturday,No
2010,1,10,0,4,91,-15,72,1033,-11,NW,0.89,0,0,Sunday,No
2010,1,10,1,4,98,-17,71,1033,-13,NW,1.78,0,0,Sunday,No
2010,1,10,2,4,126,-17,66,1033,-12,NW,4.91,0,0,Sunday,No
2010,1,10,3,4,66,-17,71,1033,-13,NW,8.04,0,0,Sunday,No
2010,1,10,4,4,70,-19,65,1032,-14,NW,9.83,0,0,Sunday,No
2010,1,10,5,4,36,-18,66,1032,-13,NW,12.96,0,0,Sunday,No
2010,1,10,6,4,31,-19,60,1032,-13,NW,16.09,0,0,Sunday,No
2010,1,10,7,4,31,-19,65,1033,-14,NW,19.22,0,0,Sunday,No
2010,1,10,8,4,6,-19,65,1034,-14,NW,22.35,0,0,Sunday,Yes
2010,1,10,9,4,49,-17,66,1033,-12,NW,24.14,0,0,Sunday,Yes
2010,1,10,10,4,70,-16,48,1033,-7,NE,4.02,0,0,Sunday,Yes
2010,1,10,11,4,123,-15,52,1033,-7,NW,3.13,0,0,Sunday,Yes
2010,1,10,12,4,81,-15,52,1032,-7,NW,6.26,0,0,Sunday,Yes
2010,1,10,13,4,74,-14,53,1031,-6,NW,9.39,0,0,Sunday,Yes
2010,1,10,14,4,70,-14,53,1031,-6,NW,12.52,0,0,Sunday,Yes
2010,1,10,15,4,54,-13,53,1030,-5,NW,14.31,0,0,Sunday,Yes
2010,1,10,16,4,107,-14,49,1031,-5,NW,16.1,0,0,Sunday,Yes
2010,1,10,17,4,90,-14,53,1031,-6,NW,19.23,0,0,Sunday,Yes
2010,1,10,18,4,109,-13,62,1032,-7,NW,23.25,0,0,Sunday,No
2010,1,10,19,4,99,-15,48,1032,-6,NW,27.27,0,0,Sunday,No
2010,1,10,20,4,18,-15,48,1033,-6,NW,30.4,0,0,Sunday,No
2010,1,10,21,4,22,-15,42,1034,-4,NW,35.32,0,0,Sunday,No
2010,1,10,22,4,15,-16,38,1034,-4,NW,44.26,0,0,Sunday,No
2010,1,10,23,4,32,-17,38,1035,-5,NW,52.31,0,0,Sunday,No
2010,1,11,0,4,27,-17,41,1035,-6,NW,60.36,0,0,Monday,No
2010,1,11,1,4,17,-17,48,1035,-8,cv,0.89,0,0,Monday,No
2010,1,11,2,4,18,-19,51,1036,-11,NW,4.02,0,0,Monday,No
2010,1,11,3,4,11,-20,47,1036,-11,NW,8.94,0,0,Monday,No
2010,1,11,4,4,14,-21,43,1035,-11,NE,4.02,0,0,Monday,No
2010,1,11,5,4,14,-22,43,1035,-12,NW,3.13,0,0,Monday,No
2010,1,11,6,4,25,-22,43,1035,-12,NE,4.92,0,0,Monday,No
2010,1,11,7,4,46,-22,46,1036,-13,NW,5.81,0,0,Monday,No
2010,1,11,8,4,19,-22,34,1036,-9,NW,13.86,0,0,Monday,Yes
2010,1,11,9,4,30,-22,36,1036,-10,NW,21.91,0,0,Monday,Yes
2010,1,11,10,4,32,-22,34,1036,-9,NW,29.06,0,0,Monday,Yes
2010,1,11,11,4,35,-21,37,1036,-9,NW,33.08,0,0,Monday,Yes
2010,1,11,12,4,30,-20,32,1035,-6,NW,42.02,0,0,Monday,Yes
2010,1,11,13,4,11,-19,32,1034,-5,NW,50.96,0,0,Monday,Yes
2010,1,11,14,4,22,-19,32,1033,-5,NW,59.01,0,0,Monday,Yes
2010,1,11,15,4,25,-20,29,1033,-5,NW,66.16,0,0,Monday,Yes
2010,1,11,16,4,9,-20,29,1032,-5,NW,71.97,0,0,Monday,Yes
2010,1,11,17,4,13,-20,29,1033,-5,NW,76.89,0,0,Monday,Yes
2010,1,11,18,4,11,-20,34,1033,-7,NW,81.81,0,0,Monday,No
2010,1,11,19,4,18,-22,29,1033,-7,NW,85.83,0,0,Monday,No
2010,1,11,20,4,22,-22,31,1033,-8,NW,89.85,0,0,Monday,No
2010,1,11,21,4,20,-23,33,1033,-10,NW,91.64,0,0,Monday,No
2010,1,11,22,4,43,-23,42,1033,-13,NW,93.43,0,0,Monday,No
2010,1,11,23,4,20,-22,43,1032,-12,cv,0.89,0,0,Monday,No
2010,1,12,0,4,21,-22,55,1031,-15,cv,1.78,0,0,Tuesday,No
2010,1,12,1,4,33,-22,50,1031,-14,NE,1.79,0,0,Tuesday,No
2010,1,12,2,4,32,-22,50,1031,-14,NW,0.89,0,0,Tuesday,No
2010,1,12,3,4,3,-24,59,1030,-18,NE,1.79,0,0,Tuesday,No
2010,1,12,4,4,16,-24,39,1030,-13,NE,3.58,0,0,Tuesday,No
2010,1,12,5,4,17,-25,38,1030,-14,NW,3.13,0,0,Tuesday,No
2010,1,12,6,4,5,-24,42,1030,-14,NW,7.15,0,0,Tuesday,No
2010,1,12,7,4,12,-25,33,1030,-12,NW,12.96,0,0,Tuesday,No
2010,1,12,8,4,11,-26,35,1030,-14,NW,16.98,0,0,Tuesday,Yes
2010,1,12,9,4,20,-25,33,1031,-12,NW,21,0,0,Tuesday,Yes
2010,1,12,10,4,32,-25,30,1031,-11,NW,26.81,0,0,Tuesday,Yes
2010,1,12,11,4,20,-24,33,1030,-11,NW,35.75,0,0,Tuesday,Yes
2010,1,12,12,4,20,-23,36,1029,-11,NW,47.82,0,0,Tuesday,Yes
2010,1,12,13,4,12,-22,39,1029,-11,NW,63.02,0,0,Tuesday,Yes
2010,1,12,14,4,19,-23,36,1029,-11,NW,75.98,0,0,Tuesday,Yes
2010,1,12,15,4,27,-22,39,1029,-11,NW,88.05,0,0,Tuesday,Yes
2010,1,12,16,4,32,-23,36,1030,-11,NW,101.01,0,0,Tuesday,Yes
2010,1,12,17,4,25,-24,33,1030,-11,NW,109.06,0,0,Tuesday,Yes
2010,1,12,18,4,31,-24,33,1032,-11,NW,118,0,0,Tuesday,No
2010,1,12,19,4,31,-23,36,1032,-11,NW,126.05,0,0,Tuesday,No
2010,1,12,20,4,30,-23,39,1032,-12,NW,134.1,0,0,Tuesday,No
2010,1,12,21,4,37,-24,36,1033,-12,NW,142.15,0,0,Tuesday,No
2010,1,12,22,4,34,-23,39,1033,-12,NW,150.2,0,0,Tuesday,No
2010,1,12,23,4,18,-23,39,1034,-12,NW,160.03,0,0,Tuesday,No
2010,1,13,0,4,6,-24,36,1034,-12,NW,169.86,0,0,Wednesday,No
2010,1,13,1,4,16,-24,36,1033,-12,NW,178.8,0,0,Wednesday,No
2010,1,13,2,4,17,-25,33,1033,-12,NW,189.98,0,0,Wednesday,No
2010,1,13,3,4,14,-24,39,1033,-13,NW,198.03,0,0,Wednesday,No
2010,1,13,4,4,24,-25,33,1032,-12,NW,205.18,0,0,Wednesday,No
2010,1,13,5,4,4,-25,33,1033,-12,NW,215.01,0,0,Wednesday,No
2010,1,13,6,4,22,-25,33,1032,-12,NW,226.19,0,0,Wednesday,No
2010,1,13,7,4,48,-25,33,1032,-12,NW,235.13,0,0,Wednesday,No
2010,1,13,8,4,30,-25,33,1032,-12,NW,243.18,0,0,Wednesday,Yes
2010,1,13,9,4,13,-23,36,1033,-11,NW,252.12,0,0,Wednesday,Yes
2010,1,13,10,4,33,-23,33,1033,-10,NW,257.93,0,0,Wednesday,Yes
2010,1,13,11,4,35,-22,34,1033,-9,NW,263.74,0,0,Wednesday,Yes
2010,1,13,12,4,16,-21,34,1031,-8,NW,270.89,0,0,Wednesday,Yes
2010,1,13,13,4,41,-21,29,1030,-6,NW,278.94,0,0,Wednesday,Yes
2010,1,13,14,4,98,-20,29,1029,-5,NW,286.99,0,0,Wednesday,Yes
2010,1,13,15,4,30,-22,24,1028,-5,NW,294.14,0,0,Wednesday,Yes
2010,1,13,16,4,46,-21,27,1028,-5,NW,299.06,0,0,Wednesday,Yes
2010,1,13,17,4,63,-19,37,1028,-7,SE,1.79,0,0,Wednesday,Yes
2010,1,13,18,4,64,-19,40,1028,-8,cv,0.45,0,0,Wednesday,No
2010,1,13,19,4,102,-20,40,1028,-9,cv,1.34,0,0,Wednesday,No
2010,1,13,20,4,117,-19,47,1027,-10,SE,1.79,0,0,Wednesday,No
2010,1,13,21,4,111,-19,60,1027,-13,cv,0.89,0,0,Wednesday,No
2010,1,13,22,4,56,-18,60,1027,-12,cv,1.78,0,0,Wednesday,No
2010,1,13,23,4,89,-18,66,1027,-13,NE,0.89,0,0,Wednesday,No
2010,1,14,0,4,279,-18,71,1026,-14,NE,1.78,0,0,Thursday,No
2010,1,14,1,4,175,-20,65,1025,-15,NE,2.67,0,0,Thursday,No
2010,1,14,2,4,129,-20,65,1025,-15,NW,0.89,0,0,Thursday,No
2010,1,14,3,4,127,-20,71,1025,-16,NW,1.78,0,0,Thursday,No
2010,1,14,4,4,110,-20,71,1024,-16,NW,3.57,0,0,Thursday,No
2010,1,14,5,4,139,-21,71,1024,-17,NW,6.7,0,0,Thursday,No
2010,1,14,6,4,50,-19,65,1023,-14,NW,10.72,0,0,Thursday,No
2010,1,14,7,4,68,-21,71,1023,-17,NW,13.85,0,0,Thursday,No
2010,1,14,8,4,47,-19,71,1024,-15,NW,15.64,0,0,Thursday,Yes
2010,1,14,9,4,44,-19,65,1024,-14,NW,18.77,0,0,Thursday,Yes
